======================================== [1] 2025-12-04 17:04:57
=== OSD Disk Usage ===
ID  CLASS  WEIGHT    REWEIGHT  SIZE     RAW USE  DATA      OMAP     META      AVAIL    %USE  VAR   PGS  STATUS
28    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    9 KiB  1.2 GiB   15 TiB  0.15  1.02  173      up
31    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  1.3 GiB   15 TiB  0.15  1.02  182      up
34    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB   18 KiB  1.0 GiB   15 TiB  0.15  1.02  174      up
37    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB   10 KiB  1.3 GiB   15 TiB  0.15  1.02  181      up
41    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    9 KiB  835 MiB   15 TiB  0.15  1.02  170      up
44    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB  1.3 GiB   15 TiB  0.15  1.02  182      up
 0   nvme   1.21289   1.00000  1.2 TiB   35 MiB   8.4 MiB    4 KiB   27 MiB  1.2 TiB  0.00  0.02  170      up
 3   nvme   1.21289   1.00000  1.2 TiB   35 MiB   8.4 MiB    4 KiB   27 MiB  1.2 TiB  0.00  0.02  168      up
 6   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    4 KiB   31 MiB  1.2 TiB  0.00  0.02  175      up
10    hdd  14.57399   1.00000   15 TiB   23 GiB  1024 MiB   10 KiB  1.3 GiB   15 TiB  0.15  1.02  180      up
13    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  1.6 GiB   15 TiB  0.15  1.02  182      up
16    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  1.6 GiB   15 TiB  0.15  1.02  182      up
18    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    8 KiB  1.2 GiB   15 TiB  0.15  1.02  175      up
21    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB   13 KiB  1.5 GiB   15 TiB  0.15  1.02  180      up
24    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  1.2 GiB   15 TiB  0.15  1.02  181      up
27    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  1.5 GiB   15 TiB  0.15  1.02  178      up
30    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    7 KiB  1.1 GiB   15 TiB  0.15  1.02  175      up
33    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB  894 MiB   15 TiB  0.15  1.02  183      up
36    hdd  14.57399   1.00000   15 TiB   23 GiB  1005 MiB    7 KiB  1.1 GiB   15 TiB  0.15  1.02  174      up
40    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    7 KiB  1.0 GiB   15 TiB  0.15  1.02  169      up
43    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    7 KiB  1.3 GiB   15 TiB  0.15  1.02  177      up
 1   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB   30 MiB  1.2 TiB  0.00  0.02  169      up
 4   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB   30 MiB  1.2 TiB  0.00  0.02  173      up
 7   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB   30 MiB  1.2 TiB  0.00  0.02  171      up
11    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB  1.4 GiB   15 TiB  0.15  1.02  179      up
14    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    7 KiB  1.4 GiB   15 TiB  0.15  1.02  183      up
17    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    7 KiB  968 MiB   15 TiB  0.15  1.02  179      up
20    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB   10 KiB  1.4 GiB   15 TiB  0.15  1.02  180      up
23    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  1.0 GiB   15 TiB  0.15  1.02  180      up
26    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  1.2 GiB   15 TiB  0.15  1.02  175      up
29    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  1.3 GiB   15 TiB  0.15  1.02  185      up
32    hdd  14.57399   1.00000   15 TiB   23 GiB  1007 MiB    7 KiB  778 MiB   15 TiB  0.15  1.02  169      up
35    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    7 KiB  1.0 GiB   15 TiB  0.15  1.02  171      up
38    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  1.7 GiB   15 TiB  0.15  1.02  183      up
39    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB   14 KiB  1.3 GiB   15 TiB  0.15  1.02  171      up
42    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  1.2 GiB   15 TiB  0.15  1.02  181      up
 2   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB   30 MiB  1.2 TiB  0.00  0.02  173      up
 5   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB   30 MiB  1.2 TiB  0.00  0.02  174      up
 8   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB   30 MiB  1.2 TiB  0.00  0.02  166      up
                        TOTAL  536 TiB  821 GiB    38 GiB  352 KiB   43 GiB  535 TiB  0.15                   
MIN/MAX VAR: 0.02/1.02  STDDEV: 0.07

======================================== [36] 2025-12-04 17:09:05
=== OSD Disk Usage ===
ID  CLASS  WEIGHT    REWEIGHT  SIZE     RAW USE  DATA      OMAP     META      AVAIL    %USE  VAR   PGS  STATUS
 9    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB   1.1 GiB   15 TiB  0.15  1.02  176      up
12    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB   11 KiB   1.4 GiB   15 TiB  0.15  1.02  183      up
15    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB   1.2 GiB   15 TiB  0.15  1.02  181      up
19    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    8 KiB   836 MiB   15 TiB  0.15  1.02  178      up
22    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB   1.3 GiB   15 TiB  0.15  1.02  183      up
25    hdd  14.57399   1.00000   15 TiB   23 GiB  1022 MiB    9 KiB  1017 MiB   15 TiB  0.15  1.02  173      up
28    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    9 KiB   802 MiB   15 TiB  0.15  1.02  173      up
31    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB   1.3 GiB   15 TiB  0.15  1.02  182      up
34    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB   18 KiB   1.1 GiB   15 TiB  0.15  1.02  174      up
37    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB   10 KiB   1.3 GiB   15 TiB  0.15  1.02  181      up
41    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    9 KiB   866 MiB   15 TiB  0.15  1.02  170      up
44    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB   1.4 GiB   15 TiB  0.15  1.02  182      up
 0   nvme   1.21289   1.00000  1.2 TiB   35 MiB   8.4 MiB    4 KiB    27 MiB  1.2 TiB  0.00  0.02  170      up
 3   nvme   1.21289   1.00000  1.2 TiB   35 MiB   8.4 MiB    4 KiB    27 MiB  1.2 TiB  0.00  0.02  168      up
 6   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    4 KiB    31 MiB  1.2 TiB  0.00  0.02  175      up
10    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB   10 KiB   1.3 GiB   15 TiB  0.15  1.02  180      up
13    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB   1.6 GiB   15 TiB  0.15  1.02  182      up
16    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB   1.6 GiB   15 TiB  0.15  1.02  182      up
18    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    8 KiB   1.3 GiB   15 TiB  0.15  1.02  175      up
21    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB   13 KiB   1.5 GiB   15 TiB  0.15  1.02  180      up
24    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB   1.3 GiB   15 TiB  0.15  1.02  181      up
27    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB   1.5 GiB   15 TiB  0.15  1.02  178      up
30    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    7 KiB   1.2 GiB   15 TiB  0.15  1.02  175      up
33    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB   217 MiB   15 TiB  0.15  1.02  183      up
36    hdd  14.57399   1.00000   15 TiB   23 GiB  1012 MiB    7 KiB   1.1 GiB   15 TiB  0.15  1.02  174      up
40    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    7 KiB   1.1 GiB   15 TiB  0.15  1.02  169      up
43    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    7 KiB   1.3 GiB   15 TiB  0.15  1.02  177      up
 1   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB    30 MiB  1.2 TiB  0.00  0.02  169      up
 4   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB    30 MiB  1.2 TiB  0.00  0.02  173      up
 7   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB    30 MiB  1.2 TiB  0.00  0.02  171      up
11    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB   1.4 GiB   15 TiB  0.15  1.02  179      up
14    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    7 KiB   1.4 GiB   15 TiB  0.15  1.02  183      up
17    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    7 KiB   1.0 GiB   15 TiB  0.15  1.02  179      up
20    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB   10 KiB   1.4 GiB   15 TiB  0.15  1.02  180      up
23    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB   1.1 GiB   15 TiB  0.15  1.02  180      up
26    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB   1.3 GiB   15 TiB  0.15  1.02  175      up
29    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB   1.4 GiB   15 TiB  0.15  1.02  185      up
32    hdd  14.57399   1.00000   15 TiB   23 GiB  1013 MiB    7 KiB   845 MiB   15 TiB  0.15  1.02  169      up
35    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    7 KiB   1.1 GiB   15 TiB  0.15  1.02  171      up
38    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB   1.3 GiB   15 TiB  0.15  1.02  183      up
39    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB   14 KiB   1.4 GiB   15 TiB  0.15  1.02  171      up
42    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB   1.2 GiB   15 TiB  0.15  1.02  181      up
 2   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB    30 MiB  1.2 TiB  0.00  0.02  173      up
 5   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB    30 MiB  1.2 TiB  0.00  0.02  174      up
 8   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB    30 MiB  1.2 TiB  0.00  0.02  166      up
                        TOTAL  536 TiB  821 GiB    38 GiB  352 KiB    44 GiB  535 TiB  0.15                   
MIN/MAX VAR: 0.02/1.02  STDDEV: 0.07

======================================== [37] 2025-12-04 17:09:13
=== OSD Disk Usage ===
ID  CLASS  WEIGHT    REWEIGHT  SIZE     RAW USE  DATA      OMAP     META     AVAIL    %USE  VAR   PGS  STATUS
 9    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB  1.2 GiB   15 TiB  0.15  1.02  176      up
12    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB   11 KiB  1.4 GiB   15 TiB  0.15  1.02  183      up
15    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB  1.3 GiB   15 TiB  0.15  1.02  181      up
19    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    8 KiB  872 MiB   15 TiB  0.15  1.02  178      up
22    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB  1.3 GiB   15 TiB  0.15  1.02  183      up
25    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    9 KiB  1.1 GiB   15 TiB  0.15  1.02  173      up
28    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    9 KiB  887 MiB   15 TiB  0.15  1.02  173      up
31    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  1.4 GiB   15 TiB  0.15  1.02  182      up
34    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB   18 KiB  1.1 GiB   15 TiB  0.15  1.02  174      up
37    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB   11 KiB  1.1 GiB   15 TiB  0.15  1.02  181      up
41    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    9 KiB  948 MiB   15 TiB  0.15  1.02  170      up
44    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB  1.4 GiB   15 TiB  0.15  1.02  182      up
 0   nvme   1.21289   1.00000  1.2 TiB   35 MiB   8.4 MiB    4 KiB   27 MiB  1.2 TiB  0.00  0.02  170      up
 3   nvme   1.21289   1.00000  1.2 TiB   35 MiB   8.4 MiB    4 KiB   27 MiB  1.2 TiB  0.00  0.02  168      up
 6   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    4 KiB   31 MiB  1.2 TiB  0.00  0.02  175      up
10    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB   10 KiB  1.4 GiB   15 TiB  0.15  1.02  180      up
13    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  1.7 GiB   15 TiB  0.15  1.02  182      up
16    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  1.2 GiB   15 TiB  0.15  1.02  182      up
18    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    8 KiB  1.3 GiB   15 TiB  0.15  1.02  175      up
21    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB   13 KiB  1.6 GiB   15 TiB  0.15  1.02  180      up
24    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  709 MiB   15 TiB  0.15  1.02  181      up
27    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  1.6 GiB   15 TiB  0.15  1.02  178      up
30    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    7 KiB  1.2 GiB   15 TiB  0.15  1.02  175      up
33    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB  253 MiB   15 TiB  0.15  1.02  183      up
36    hdd  14.57399   1.00000   15 TiB   23 GiB  1015 MiB    7 KiB  1.1 GiB   15 TiB  0.15  1.02  174      up
40    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    7 KiB  1.1 GiB   15 TiB  0.15  1.02  169      up
43    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    7 KiB  1.4 GiB   15 TiB  0.15  1.02  177      up
 1   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB   30 MiB  1.2 TiB  0.00  0.02  169      up
 4   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB   30 MiB  1.2 TiB  0.00  0.02  173      up
 7   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB   30 MiB  1.2 TiB  0.00  0.02  171      up
11    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB  1.5 GiB   15 TiB  0.15  1.02  179      up
14    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    7 KiB  1.5 GiB   15 TiB  0.15  1.02  183      up
17    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    7 KiB  1.1 GiB   15 TiB  0.15  1.02  179      up
20    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB   10 KiB  1.5 GiB   15 TiB  0.15  1.02  180      up
23    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  1.1 GiB   15 TiB  0.15  1.02  180      up
26    hdd  14.57399   1.00000   15 TiB   23 GiB   1.2 GiB    7 KiB  415 MiB   15 TiB  0.15  1.02  175      up
29    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  1.5 GiB   15 TiB  0.15  1.02  185      up
32    hdd  14.57399   1.00000   15 TiB   23 GiB  1020 MiB    7 KiB  912 MiB   15 TiB  0.15  1.02  169      up
35    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  1.1 GiB   15 TiB  0.15  1.02  171      up
38    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    8 KiB  221 MiB   15 TiB  0.15  1.02  183      up
39    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB   14 KiB  1.5 GiB   15 TiB  0.15  1.02  171      up
42    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB  292 MiB   15 TiB  0.15  1.02  181      up
 2   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB   30 MiB  1.2 TiB  0.00  0.02  173      up
 5   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB   30 MiB  1.2 TiB  0.00  0.02  174      up
 8   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB   30 MiB  1.2 TiB  0.00  0.02  166      up
                        TOTAL  536 TiB  821 GiB    39 GiB  356 KiB   41 GiB  535 TiB  0.15                   
MIN/MAX VAR: 0.02/1.02  STDDEV: 0.07

======================================== [38] 2025-12-04 17:09:20
=== OSD Disk Usage ===
ID  CLASS  WEIGHT    REWEIGHT  SIZE     RAW USE  DATA      OMAP     META     AVAIL    %USE  VAR   PGS  STATUS
 9    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB  1.3 GiB   15 TiB  0.15  1.02  176      up
12    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB   13 KiB  1.1 GiB   15 TiB  0.15  1.02  183      up
15    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB  1.3 GiB   15 TiB  0.15  1.02  181      up
19    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    8 KiB  885 MiB   15 TiB  0.15  1.02  178      up
22    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB  1.4 GiB   15 TiB  0.15  1.02  183      up
25    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    9 KiB  1.1 GiB   15 TiB  0.15  1.02  173      up
28    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    9 KiB  918 MiB   15 TiB  0.15  1.02  173      up
31    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB  1.2 GiB   15 TiB  0.15  1.02  182      up
34    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB   18 KiB  1.2 GiB   15 TiB  0.15  1.02  174      up
37    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB   11 KiB  1.2 GiB   15 TiB  0.15  1.02  181      up
41    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    9 KiB  997 MiB   15 TiB  0.15  1.02  170      up
44    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB  1.5 GiB   15 TiB  0.15  1.02  182      up
 0   nvme   1.21289   1.00000  1.2 TiB   35 MiB   8.4 MiB    4 KiB   27 MiB  1.2 TiB  0.00  0.02  170      up
 3   nvme   1.21289   1.00000  1.2 TiB   35 MiB   8.4 MiB    4 KiB   27 MiB  1.2 TiB  0.00  0.02  168      up
 6   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    4 KiB   31 MiB  1.2 TiB  0.00  0.02  175      up
10    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB   10 KiB  1.4 GiB   15 TiB  0.15  1.02  180      up
13    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    8 KiB  207 MiB   15 TiB  0.15  1.02  182      up
16    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  159 MiB   15 TiB  0.15  1.02  182      up
18    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    8 KiB  1.4 GiB   15 TiB  0.15  1.02  175      up
21    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB   13 KiB  1.6 GiB   15 TiB  0.15  1.02  180      up
24    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  745 MiB   15 TiB  0.15  1.02  181      up
27    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  1.7 GiB   15 TiB  0.15  1.02  178      up
30    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    7 KiB  1.3 GiB   15 TiB  0.15  1.02  175      up
33    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB  307 MiB   15 TiB  0.15  1.02  183      up
36    hdd  14.57399   1.00000   15 TiB   23 GiB  1019 MiB    7 KiB  1.2 GiB   15 TiB  0.15  1.02  174      up
40    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    7 KiB  1.2 GiB   15 TiB  0.15  1.02  169      up
43    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    7 KiB  1.5 GiB   15 TiB  0.15  1.02  177      up
 1   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB   30 MiB  1.2 TiB  0.00  0.02  169      up
 4   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB   30 MiB  1.2 TiB  0.00  0.02  173      up
 7   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB   30 MiB  1.2 TiB  0.00  0.02  171      up
11    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB  1.5 GiB   15 TiB  0.15  1.02  179      up
14    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    7 KiB  1.5 GiB   15 TiB  0.15  1.02  183      up
17    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB    7 KiB  1.1 GiB   15 TiB  0.15  1.02  179      up
20    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB   10 KiB  1.6 GiB   15 TiB  0.15  1.02  180      up
23    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  1.2 GiB   15 TiB  0.15  1.02  180      up
26    hdd  14.57399   1.00000   15 TiB   23 GiB   1.2 GiB    7 KiB  451 MiB   15 TiB  0.15  1.02  175      up
29    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  1.5 GiB   15 TiB  0.15  1.02  185      up
32    hdd  14.57399   1.00000   15 TiB   23 GiB  1023 MiB    7 KiB  976 MiB   15 TiB  0.15  1.02  169      up
35    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    7 KiB  1.2 GiB   15 TiB  0.15  1.02  171      up
38    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    8 KiB  257 MiB   15 TiB  0.15  1.02  183      up
39    hdd  14.57399   1.00000   15 TiB   23 GiB   1.0 GiB   14 KiB  1.5 GiB   15 TiB  0.15  1.02  171      up
42    hdd  14.57399   1.00000   15 TiB   23 GiB   1.1 GiB    9 KiB  328 MiB   15 TiB  0.15  1.02  181      up
 2   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB   30 MiB  1.2 TiB  0.00  0.02  173      up
 5   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB   30 MiB  1.2 TiB  0.00  0.02  174      up
 8   nvme   1.21289   1.00000  1.2 TiB   39 MiB   8.4 MiB    1 KiB   30 MiB  1.2 TiB  0.00  0.02  166      up
                        TOTAL  536 TiB  821 GiB    39 GiB  360 KiB   40 GiB  535 TiB  0.15                   
MIN/MAX VAR: 0.02/1.02  STDDEV: 0.07

======================================== [39] 2025-12-04 17:09:27
=== OSD Disk Usage ===
ID  CLASS  WEIGHT    REWEIGHT  SIZE     RAW USE  DATA     OMAP     META     AVAIL    %USE  VAR   PGS  STATUS
 9    hdd  14.57399   1.00000   15 TiB   23 GiB  1.1 GiB   10 KiB  384 MiB   15 TiB  0.15  1.02  176      up
12    hdd  14.57399   1.00000   15 TiB   23 GiB  1.1 GiB   13 KiB  1.2 GiB   15 TiB  0.15  1.02  183      up
15    hdd  14.57399   1.00000   15 TiB   23 GiB  1.1 GiB    9 KiB  1.4 GiB   15 TiB  0.15  1.02  181      up
19    hdd  14.57399   1.00000   15 TiB   23 GiB  1.0 GiB    8 KiB  985 MiB   15 TiB  0.15  1.02  178      up
22    hdd  14.57399   1.00000   15 TiB   23 GiB  1.1 GiB    9 KiB  1.4 GiB   15 TiB  0.15  1.02  183      up
25    hdd  14.57399   1.00000   15 TiB   23 GiB  1.0 GiB    9 KiB  1.2 GiB   15 TiB  0.15  1.02  173      up
28    hdd  14.57399   1.00000   15 TiB   23 GiB  1.0 GiB    9 KiB  982 MiB   15 TiB  0.15  1.02  173      up
31    hdd  14.57399   1.00000   15 TiB   23 GiB  1.1 GiB    9 KiB  1.2 GiB   15 TiB  0.15  1.02  182      up
34    hdd  14.57399   1.00000   15 TiB   23 GiB  1.1 GiB   18 KiB  1.2 GiB   15 TiB  0.15  1.02  174      up
37    hdd  14.57399   1.00000   15 TiB   23 GiB  1.1 GiB   11 KiB  1.2 GiB   15 TiB  0.15  1.02  181      up
41    hdd  14.57399   1.00000   15 TiB   23 GiB  1.1 GiB    9 KiB  1.0 GiB   15 TiB  0.15  1.02  170      up
44    hdd  14.57399   1.00000   15 TiB   23 GiB  1.1 GiB    9 KiB  585 MiB   15 TiB  0.15  1.02  182      up
 0   nvme   1.21289   1.00000  1.2 TiB   35 MiB  8.4 MiB    4 KiB   27 MiB  1.2 TiB  0.00  0.02  170      up
 3   nvme   1.21289   1.00000  1.2 TiB   35 MiB  8.4 MiB    4 KiB   27 MiB  1.2 TiB  0.00  0.02  168      up
 6   nvme   1.21289   1.00000  1.2 TiB   39 MiB  8.4 MiB    4 KiB   31 MiB  1.2 TiB  0.00  0.02  175      up
10    hdd  14.57399   1.00000   15 TiB   23 GiB  1.0 GiB   10 KiB  1.4 GiB   15 TiB  0.15  1.02  180      up
